id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
26946,Crlly,Cray Silly,2003-5-26,Lima,480,138,M,65,180
26947,Bhassty,Frosty Bhaskara,2003-4-23,Warsaw,24336,140,M,62,175
26948,Drezaka,Ishizaka Dreamy,1996-6-24,Belgrade,94552,154,F,55,160
26949,Mystivira,Mystifying Mahavira,2004-11-9,Cairo,67983,53,M,57,174
26950,Jomann,Lehmann Jolly,2000-8-23,Sanaa,79522,194,F,43,156
26951,Robilly,Silly Robinson,2004-3-2,Dhaka,79649,14,M,55,176
26952,Gofie,Diffie Goofy,1996-11-26,Bridgetown,16488,15,F,54,155
26953,Vigorch,Kirch Vigorous,2006-6-21,Dushanbe,48174,173,M,65,174
26954,Focmain,Focused Germain,1999-6-24,Copenhagen,6019,47,M,65,185
26955,Farsty,Frosty Faraday,1996-6-29,Islamabad,43357,132,M,64,183
26956,Aryaoyant,Aryabhata Flamboyant,2004-10-7,Ljubljana,24550,159,M,55,182
26957,Claerful,Clarke Wonderful,1997-6-24,Moroni,2054,38,M,55,177
26958,Leharp,Lehmann Sharp,2001-10-21,Saint George’s,19941,68,F,42,156
26959,Hamirous,Vigorous Hamilton,2002-11-13,Cairo,54881,53,F,48,169
26960,Distrfie,Diffie Distracted,2000-10-12,Sri Jayewardenepura Kotte,61243,165,F,50,162
26961,Kivous,Kirch Nervous,2000-9-3,Berne,85585,170,M,63,184
26962,Elalman,Hellman Elated,2006-2-1,Baku,50509,11,M,62,174
26963,Nostdall,Goodall Nostalgic,1995-5-3,Juba,88595,163,M,61,183
26964,Boiot,Joliot Bold,2006-6-12,Brasilia,100174,24,F,48,162
26965,Hardsh,Hardcore Nash,1998-9-19,London,13915,186,F,40,168
26966,Heeet,Hertz Sweet,2008-10-27,Nairobi,3029,88,M,63,184
26967,Relnes,Relaxed Jones,1995-11-3,Funafuti province,41252,182,M,59,176
26968,Elerie,Elegant Curie,1997-10-5,Buenos Aires,43989,7,F,52,159
26969,Noatic,Ecstatic Noyce,2008-6-18,Canberra,63990,9,F,40,164
26970,Objebin,Objective Rubin,2008-8-19,Havana,14260,44,F,45,156
26971,Cleton,Clever Newton,1997-10-27,Amman,23329,86,M,64,184
26972,Intelerjee,Chatterjee Intelligent,1998-2-9,Sri Jayewardenepura Kotte,88033,165,M,60,174
26973,Nonny,Noyce Funny,2002-10-4,Tokyo,79202,85,F,54,167
26974,Pracbraker,Stonebraker Practical,2004-5-28,Managua,79279,127,M,62,174
26975,Noppy,Happy Nobel,1997-1-23,Jerusalem,20878,82,M,58,185
26976,Barous,Vigorous Bassi,2005-2-7,Copenhagen,58621,47,M,65,180
26977,Niler,Nice Kepler,2000-2-13,Gitega,97172,28,M,55,173
26978,Chhing,Chaum Laughing,2008-9-17,Prague,58295,46,M,65,182
26979,Knol,Cool Knuth,2000-9-3,Copenhagen,83441,47,M,55,171
26980,Gifamson,Williamson Gifted,2005-3-18,Brussels,89073,17,F,53,170
26981,Sandatic,Sanderson Ecstatic,1996-4-3,Quito,61538,52,M,62,174
26982,Silett,Haslett Silly,2001-9-22,Amsterdam,10168,125,M,55,170
26983,Magry,Angry Mayer,2004-12-10,Ulaanbaatar,52573,117,F,41,161
26984,Youtyshev,Chebyshev Youthful,2002-4-21,Khartoum,79026,166,F,51,164
26985,Peacfie,Diffie Peaceful,2005-5-19,Apia,53562,149,F,50,167
26986,Compath,Competent Yonath,1997-10-2,Vilnius,6648,101,F,52,167
26987,Thzing,Tharp Amazing,2007-5-23,Funafuti province,59537,182,M,65,174
26988,Pracison,Jemison Practical,2002-10-25,Palikir,13894,114,M,65,176
26989,Gallly,Silly Galois,1999-3-10,Nouakchott,42697,111,M,60,173
26990,Tol,Tu Cool,2008-12-5,Niamey,70990,128,F,53,168
26991,Sperky,Quirky Spence,2007-7-9,San Jose,91950,41,M,59,170
26992,Nerrberg,Nervous Lederberg,2002-3-20,Guatemala City,51331,69,F,40,169
26993,Fesnson,Johnson Festive,2000-10-17,Luxembourg,6021,102,F,43,165
26994,Joande,Jolly Lalande,2003-9-21,Lisbon,17086,141,F,50,168
