id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
1946,Raeat,Great Raman,1996-5-22,Tbilisi,16715,64,F,48,167
1947,Jovkle,Jovial Merkle,1997-3-24,Roseau,53703,49,F,48,161
1948,Elaiot,Elastic Joliot,1997-7-2,Phnom Penh,35276,29,M,62,184
1949,Joen,Jones Keen,2008-7-23,Windhoek,47524,122,F,43,161
1950,Kiial,Jovial Kilby,2000-3-5,Yamoussoukro,73984,42,F,47,168
1951,Infalings,Jennings Infallible,1995-10-20,Managua,96875,127,F,45,157
1952,Eachel,Herschel Eager,2001-4-17,Yaounde,80495,30,F,46,158
1953,Naulbart,Engelbart Naughty,2008-11-24,Kampala,37228,183,F,44,155
1954,Slelman,Sleepy Hellman,2008-6-18,Khartoum,51034,166,F,48,159
1955,Neunny,Funny Neumann,1995-5-24,Copenhagen,11115,47,M,59,183
1956,Passty,Frosty Pascal,2004-11-14,Yamoussoukro,45506,42,F,40,162
1957,Keprsing,Recursing Kepler,1995-7-1,Ouagadougou,19767,27,F,42,166
1958,Faren,Zen Faraday,2002-8-17,Conakry,13727,70,F,46,156
1959,Borous,Vigorous Bohr,2003-3-7,Conakry,96126,70,F,47,155
1960,Hodsive,Pensive Hodgkin,2001-5-11,Ottawa,43191,31,F,55,166
1961,Nightffled,Unruffled Nightingale,2001-12-17,Kingstown ,49399,148,M,59,184
1962,Inspbin,Inspiring Rubin,1997-3-26,Abu Dhabi,79497,185,M,64,180
1963,Cureless,Curran Priceless,2006-1-7,Asuncion,18909,137,F,42,162
1964,Amaumoto,Amazing Matsumoto,1999-5-19,Bucharest,471,143,M,58,176
1965,Eakyan,Eager Elbakyan,2001-6-27,Sarajevo,6562,22,F,51,160
1966,Objesen,Objective Jepsen,2006-3-14,Bogota,25791,37,M,65,174
1967,Hopaday,Hopeful Faraday,2002-6-14,Berne,12058,170,F,52,167
1968,Volmined,Determined Volhard,2001-2-24,Accra,70591,66,M,62,183
1969,Eabraker,Stonebraker Eager,2001-7-3,Majuro,72513,110,M,60,171
1970,Haminny,Funny Hamilton,2005-12-5,Saint John’s,53552,6,F,46,165
1971,Suspimain,Suspicious Germain,2006-6-8,Praia,89416,32,M,58,171
1972,Helntic,Pedantic Hellman,2005-8-18,N’Djamena,82936,34,M,63,185
1973,Willisful,Williamson Blissful,1999-8-15,Asuncion,16236,137,M,55,176
1974,Hamind,Kind Hamilton,2003-1-28,Panama City,60363,135,M,64,172
1975,Bliszai,Banzai Blissful,2004-3-1,Mexico City,78477,113,F,47,157
1976,Infalnelli,Antonelli Infallible,2002-2-25,Porto-Novo,72324,19,M,57,181
1977,Elartz,Elastic Hertz,1997-2-29,Apia,8245,149,M,59,182
1978,Ramaused,Focused Ramanujan,2005-4-12,Santiago,95825,35,F,43,166
1979,Admilace,Admiring Lovelace,2001-10-29,Male,1166,107,M,64,177
1980,Solsome,Awesome Solomon,2005-3-17,Victoria,27246,155,M,58,170
1981,Galnson,Gallant Johnson,2003-11-7,Roseau,5660,49,F,44,159
1982,Youtoth,Youthful Booth,2007-3-29,Islamabad,65146,132,F,42,157
1983,Musser,Moser Musing,2005-7-23,London,53204,186,F,47,161
1984,Strmann,Hermann Strange,1996-2-18,Nicosia,95749,45,F,45,169
1985,Vigolam,Vigorous Kalam,2007-5-16,Stockholm,55603,169,F,41,168
1986,Drenson,Johnson Dreamy,1999-2-25,Jakarta,4456,78,M,55,179
1987,Swasome,Awesome Swanson,2004-8-19,Riga,76899,95,F,45,165
1988,Speffled,Unruffled Spence,2003-1-20,Madrid,11446,164,F,46,158
1989,Roening,Musing Roentgen,1999-1-17,Valletta,18496,109,F,48,163
1990,Napeful,Napier Peaceful,2007-10-19,Yaounde,13175,30,M,61,178
1991,Gocending,Gould Condescending,2007-11-25,Tehran,17698,79,F,45,159
1992,Stner,Meitner Sad,2000-1-5,Jakarta,67082,78,F,45,164
1993,Archiming,Charming Archimedes,2004-4-28,Paramaribo,23779,167,M,59,173
1994,Hofstzing,Hofstadter Amazing,1997-12-18,Managua,83293,127,M,59,178
1995,Shnny,Shaw Funny,2000-11-28,Brussels,28596,17,F,49,165
1996,Kiri,Kind Cori,2002-6-28,Berlin,48840,65,F,52,157
1997,Modtes,Modest Gates,2005-8-21,Bucharest,41190,143,F,43,165
1998,Elaguly,Elastic Ganguly,1997-12-24,Nassau,33436,12,M,63,176
1999,Helce,Hellman Nice,2002-7-23,Tashkent,65169,189,M,55,179
2000,Swelet,Sweet Chatelet,2002-8-28,Dakar,43021,153,F,45,164
2001,Flambvira,Flamboyant Mahavira,2006-1-10,Paris,93786,61,F,48,156
2002,Elsive,Pensive Ellis,2004-4-3,Paris,68386,61,M,65,171
2003,Peacson,Carson Peaceful,2006-11-13,Amman,98890,86,M,61,174
2004,Dewghty,Dewdney Naughty,1997-11-23,Tehran,11019,79,M,55,175
2005,Awemihira,Awesome Varahamihira,2004-6-19,Algiers,98301,3,F,40,169
2006,Lamffled,Unruffled Lamport,2001-1-1,Yerevan,68115,8,M,63,183
2007,Jennistic,Jennings Optimistic,1998-11-27,Phnom Penh,88036,29,M,61,170
2008,Froiere,Lumiere Frosty,1999-2-9,Montevideo,94755,188,F,46,157
2009,Vibton,Newton Vibrant,2005-8-15,Windhoek,69350,122,M,63,172
2010,Penyshev,Chebyshev Pensive,2001-11-11,Nicosia,46619,45,F,47,161
2011,Grles,Wiles Great,2008-4-10,Prague,38775,46,M,58,173
