id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
76946,Coaren,Mclaren Cool,2008-10-20,Harare,71403,40,M,57,182
76947,Penhard,Volhard Pensive,2005-5-21,Lome,58336,176,M,55,180
76948,Zeastine,Goldstine Zealous,2000-6-13,Port-of-Spain,62836,178,F,53,160
76949,Swnujan,Ramanujan Sweet,2000-12-1,Apia,52985,149,F,45,167
76950,Brrles,Brave Swirles,1999-1-7,Asuncion,63789,137,M,64,173
76951,Besy,Bell Busy,2004-4-16,Ankara,95688,180,M,55,180
76952,Samic,Sammet Epic,2004-3-4,Hanoi,63479,193,F,43,170
76953,Ramaacted,Ramanujan Distracted,2004-12-6,N’Djamena,43872,34,M,55,184
76954,Focaum,Chaum Focused,1998-7-2,Tegucigalpa,69487,74,F,42,157
76955,Taucious,Suspicious Taussig,2003-3-3,Maputo,84511,120,M,56,178
76956,Cokara,Bhaskara Cool,2008-2-13,Lome,82497,176,F,54,157
76957,Zeaulis,Margulis Zealous,2004-8-2,Ramallah,29472,134,M,64,183
76958,Feicore,Feistel Hardcore,2006-11-27,Berne,50974,170,M,63,183
76959,Aletent,Competent Allen,2008-3-15,Juba,55812,163,M,64,184
76960,Elcid,Lucid Ellis,2008-5-2,Oslo,41972,130,M,61,185
76961,Euccending,Euclid Condescending,1998-7-9,Porto-Novo,67017,19,M,59,178
76962,Mystistine,Mystifying Goldstine,2001-1-22,Asuncion,62681,137,M,59,176
76963,Huntin,Hungry Austin,2001-2-29,Nairobi,2785,88,F,40,155
76964,Vigiesi,Vigilant Agnesi,2006-4-20,Rome,70556,83,F,49,165
76965,Clelton,Clever Hamilton,2003-12-1,Freetown,91955,156,M,55,181
76966,Borriakova,Proskuriakova Boring,2005-10-6,Dodoma,91235,174,M,60,176
76967,Exciitsa,Kapitsa Exciting,2006-5-12,Bogota,94429,37,M,65,171
76968,Nostlett,Nostalgic Haslett,2007-3-5,Manila,26617,139,M,61,182
76969,Ecstkhani,Mirzakhani Ecstatic,2000-11-8,Yamoussoukro,83246,42,M,55,174
76970,Insprtz,Swartz Inspiring,2002-12-7,Havana,41481,44,F,45,155
76971,Heletent,Hellman Competent,2003-9-23,Tripoli,16784,99,F,51,161
76972,Lameful,Lamarr Hopeful,2004-1-27,Podgorica,14357,118,M,61,176
76973,Ecstini,Ecstatic Panini,2002-1-15,Yaounde,39259,30,F,51,157
76974,Amarles,Amazing Swirles,2000-3-17,Abu Dhabi,33968,185,F,50,170
76975,Noious,Noyce Gracious,2002-10-16,Tehran,31807,79,M,55,171
76976,Heyrling,Dazzling Heyrovsky,2002-9-29,Luxembourg,50041,102,F,54,159
76977,Pedastel,Pedantic Feistel,2005-2-4,Tripoli,92609,99,M,62,181
76978,Zeayshev,Chebyshev Zealous,1997-6-18,Belgrade,57044,154,F,46,167
76979,Youtvitt,Leavitt Youthful,2008-6-22,Manila,37343,139,M,60,178
76980,Joarr,Jolly Lamarr,2003-9-6,Bogota,5987,37,M,58,173
76981,Napalgic,Nostalgic Napier,1995-1-2,Abu Dhabi,51841,185,M,65,175
76982,Mcnen,Mcnulty Keen,2001-6-2,Lima,22325,138,M,60,174
76983,Hopppy,Hopper Happy,2008-6-29,Beijing,15035,36,M,61,174
76984,Jolman,Hellman Jolly,2003-5-17,Caracas,73298,192,F,44,161
